reaction   FLUX    DeltaG
FLVRx                 0.00000               -33.41187
FMNRx                 0.00000               -13.48737
FRTT                 0.00000               -62.93742
FRUK                 0.00000               -41.22450
FRUpts_f                 0.00000               -40.02450
FTHFCL                 0.00000               -67.06258
FTHFL                 0.00000               -40.92450
G1PACT                 0.16039               -56.08258
G1SAT_f                 0.00000                 9.00000
G3PD                 0.00000                 4.62450
G3PD2_f                 0.00000                53.99804
G3PD6                 0.00000               -36.10000
G5SAD                 0.00000               -45.16450
G6PDA                 0.00000               -18.94708
G6PDH2r_f                 6.02418                -1.50000
G6PI3                 0.00000               -31.12450
G6PP                 0.00220               -18.42258
GAL6PI_f                 0.00000                -1.50000
GALabcpp                 0.00000               -25.09258
GALKr_f                 0.00000               -38.02450
GALpts_f                 0.00000               -42.22450
GALS3                 0.00000                -6.72258
GALTpts_f                 0.00000               -41.82450
GALUi                 0.11919               -23.56191
GAMpts_f                 0.00000                 1.50000
GARFT_f                 0.00000                15.10000
GCALDD                 0.00002              -101.25971
GF6PTAr_f                 0.56630                -4.57550
GGTT                 0.00000               -62.93742
GHMT2r_f                 0.00000                 4.39096
GK1_f                 0.00232               -36.52450
GLCOAD_f                 0.00000                15.83742
GLCRAL                 0.00000                32.21292
GLCRD                 0.00000               -26.64000
GLGC                 0.00000               -63.38641
GLN_NAct                 0.00000               -76.34093
GLNS                 0.68756                -1.50000
GLNSP2                 0.00000               -15.50000
GLTPD_f                 0.00000                 1.08737
GLUabc                 0.00000               -21.69194
GLUDx                 0.00000                25.23414
GLUPRT                 0.00000               -69.06000
GLUR_f                 2.85411                -1.50000
GLUSx                 0.10946               -48.78672
GLUSy                 0.00000               -91.47289
GLXIII                 0.00000               -58.86000
GLXO1_f                 0.00000               -46.87263
GLYALDDr_f                 0.00000               -70.57263
GLYASNabc                 0.00000               -25.09258
GLYASPtr                 0.00000               -25.09258
GLYAT                 0.00000                -0.32450
GLYC3Pabc                 0.00000               -18.13000
GLYD_f                 0.00000               -16.18737
