reaction   FLUX    DeltaG
RNTR3                 0.00065               -28.93448
RNTR4                 0.00000              -108.08348
RPE_f                 1.89090                -1.80606
RPI_f                 0.00000                 4.40000
RSLML_f                 0.00000                29.43742
S1AGPA                 0.00000                -3.60000
S7PIr_f                 0.00000                 0.60606
SADT2                 0.00000                15.87190
SALCOD                 0.00000              -461.43190
SBTpts_f                 0.00000               -45.30000
SDPDS                 0.00000                17.56258
SERAT_f                 0.00000               -54.62450
SERD_L                 0.77500               -47.69301
SERD_Lr                 0.77500               -47.69301
SHK3Dr_f                 0.00000                66.98348
SHSL4r                 0.00000               -17.92491
SMALO                 0.00000                11.60360
SPMDabc                 0.00000               -19.21708
SPMDAT1                 0.00000               -19.71898
SPMDAT2                 0.00000               -19.71898
SQLS                 0.00000              -121.10998
SSALy                 0.00000                 3.90258
SUCBZS                 0.00000               -33.06258
SUCD1                 0.00000                40.12450
SUCpts_f                 0.00000               -48.70000
SUCR                 0.00000               -24.70000
TAGO                 0.02297                -8.19968
TALA_f                 0.00000                 1.50000
TGBPA_f                 0.00000                34.83742
THDPS                 0.00000                 0.67190
THIORDXi                 0.00000              -340.65898
THMabc                 0.00001               -54.84158
THRAr_f                 0.00000                20.50552
THRD                 0.00000                30.83190
THRD_L                 0.00000                -5.46852
TKT1_f                 0.00000                 1.50000
TKT2_f                 0.00000                 7.80000
TMDPP_f                 0.00000               -23.09088
TMDS                 0.02469               -34.73448
TMPPP                 0.00000                -8.35652
TPI_f                 0.00000                 1.50000
TRDR                 0.04344                -1.50000
TRE6PH                 0.00000                12.09640
TREpts_f                 0.00000               -50.10000
TRPS1                 0.00187               -61.28708
TRPS2                 0.00000              -121.94899
TRPS3r                 0.00000                60.76191
TRSARr_f                 0.00000               -36.73190
TYRTA_f                 0.00000                63.64539
UAAGDS                 0.00000               -52.27158
UAG2E_f                 0.01046                -1.50000
UAG4E_f                 0.02823                -1.50000
UAMAGS                 0.00000               -55.97158
UAMAS                 0.00000               -55.67158
UAPGR                 0.05858               -82.39640
UDALDL                 0.00000               -13.14708
UDCPDPpp                 0.00000                -1.50000
UDCPDPS                 0.00000              -325.37952
UDNDMx_f                 0.00000               -39.71710
UDPDPS                 0.00000                -9.45101
UDPG4E_f                 0.00000                 1.30000
UGLT_f                 0.00000                10.19640
UGMDDS                 0.00000               -20.42778
UMPK_f                 2.02774               -54.99088
UPPDC1                 0.00033               -84.42450
UPPDC2_f                 0.00000               -48.80000
UPPRTr_f                 0.00000                 1.50000
URCN_f                 0.00000                15.63742
UREA                 0.00000               -20.49289
URIDK2r                 0.00000               -35.02450
VALTA_f                 0.00000                29.32089
XPPT                 0.00000                -1.77550
XTSNH                 0.00000                -3.30000
XYLOD_f                 0.00000                12.83190
ZNabc                 0.00000               -54.84158
GLULOD_b                 0.00000               -13.51707
GTHP_b                 0.00000               334.86204
DRBK_b                 0.00000               -15.13796
HPROzr_b                 0.00000               -40.98102
ASAD_b                 0.00000                 1.50000
MTHFR3_b                 0.00507              -105.53640
METB1r_b                 0.00000                30.49024
PUNP1_b                 0.00001                22.49640
NNATr_b                 0.00000                 2.35652
PRPPS_b                 0.00000                 9.04348
OCBT_b                 0.00000                 1.50000
BGLK_b                 0.00000                30.44708
SHSL1r_b                 0.00000               -19.22491
CYTK11_b                 0.00033                -1.50000
PYNP1_b                 0.00000                13.97742
PUNP2_b                 0.00000                55.41537
PUNP4_b                 0.02007               -23.53362
FOLR2_b                 0.00000                10.70912
PUNP6_b                 0.00001                20.49088
DURIPP_b                 0.02469                -1.50000
PUNP5_b                 0.00000                21.99640
PUNP7_b                 0.00000                18.39640
AMID2r_b                 0.00000                 0.30593
NADDPp_b                 0.00000                17.98708
TAHL_b                 0.00000               -16.38102
UAG2EMA_b                 0.00000                40.74348
LASP2OA_b                 0.00000               -32.30191
FF_31_b                 0.00000                89.23190
NP1_b                 0.00000               -28.70912
PSCVT_b                 0.00000                 1.50000
PNP_b                 0.00000                31.51537
UAGPT2_b                 0.00000                32.54348
3A2OA_b                 0.00000               -24.12089
3M2OBLOXRD_b                 0.00000                69.06191
3M2OPLOXRD_b                 0.00000                69.06191
3MTDC_b                 0.00000               251.95640
4M2OPLOXRD_b                 0.00000                70.26191
4MCO2D_b                 0.00000               246.95640
4OT_b                 0.00000                -0.00045
ACACT1r_b                 0.00000                 1.50000
ACACT2r_b                 0.00000               -17.00000
ACACT7r_b                 0.00000               -17.40000
ACGApts_b                 0.00000                36.70000
ACNMLr_b                 0.00000               -13.23742
ACOADH2_b                 0.00000               334.06258
ACOTA_b                 0.00000               -24.62089
ACTD2_b                 0.00000                 1.50000
ADAPAT_b                 0.00000                17.40360
ADK1_b                 0.00000                35.77450
ADKd_b                 0.00000               -33.32450
ADSL1_b                 0.00000                 1.50000
ADSL2r_b                 0.00000               -77.14899
AGDC_r_b                 0.00000                -2.49726
AGPR_b                 0.00000                 3.73742
AICART_b                 0.00000                14.05314
ALAALAr_b                 0.00000                17.44708
ALATA_D_b                 2.85411               -25.92089
ALCD1_b                 0.00000               -37.43190
ALCD19_b                 0.00000                -7.40740
ALCD2x_b                 0.00000               -29.67000
ALDD31_b                 0.00000                29.22450
AMANAPEr_b                 0.00000                -2.10000
AMAOTr_b                 0.00000                 0.58271
AMPEP10_b                 0.00000               -29.62450
AMPEP13_b                 0.00000               -67.24899
AOXSr_b                 0.00000                24.32450
APAT_b                 0.00000                -7.66258
ARABR_b                 0.00000               -38.89640
ARGSL_b                 0.00000                 1.50000
ASPT_b                 2.91327                -5.79407
ASPTA_b                 0.00000                 1.50000
AT_MBD_b                 0.00000                -2.80000
AT_MBD1_b                 0.00000                -2.80000
AT_MBD2_b                 0.00000                -2.80000
BETALOD_b                 0.00000                95.95640
CHOLOD_b                 0.00000                48.00000
CLPNS160_b                 0.00000               -28.52450
CYSTSr_b                 0.00000                46.09301
CYTK1_b                 0.00000                34.22450
CYTK2_b                 0.01744                -1.50000
DADA5_b                 0.00001                 9.88695
DADK_b                 0.02501                -1.50000
DAPDA_b                 0.00000                36.52724
DAPE_b                 0.00000               -33.92450
DGK1_b                 0.00000                28.22450
DGLUO_b                 0.00000               -15.53190
DHDPRy_b                 0.00000               -48.29640
DHFR_b                 0.02471               -81.52089
DHNPA2_b                 0.00000               -13.13742
DHORTS_b                 2.07987                -2.64360
